Comunidades autónomas;Tipología penal;Periodos:;Total
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;2.332
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;11,6
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-marzo 2023;1.901
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-marzo 2024;2.084
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2024/2023;9,6
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-marzo 2023;188
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-marzo 2024;248
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2024/2023;31,9
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;7.946
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;8.363
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,2
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;12.987
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;12.888
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,8
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;0
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;5
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;5
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,0
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;235
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;233
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;-0,9
BALEARS (ILLES);4. Secuestro;enero-marzo 2023;1
BALEARS (ILLES);4. Secuestro;enero-marzo 2024;2
BALEARS (ILLES);4. Secuestro;Variación % 2024/2023;100,0
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-marzo 2023;177
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-marzo 2024;160
BALEARS (ILLES);5. Delitos contra la libertad sexual;Variación % 2024/2023;-9,6
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-marzo 2023;27
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-marzo 2024;21
BALEARS (ILLES);5.1.-Agresión sexual con penetración;Variación % 2024/2023;-22,2
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;150
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;139
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,3
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-marzo 2023;270
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-marzo 2024;256
BALEARS (ILLES);6. Robos con violencia e intimidación;Variación % 2024/2023;-5,2
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;631
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;675
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;7,0
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-marzo 2023;455
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-marzo 2024;474
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;4,2
